district,age,sex,rural,urban,total
ABBOTTABAD DISTRICT,71,Female,1424,277,1701
ABBOTTABAD DISTRICT,71,Transgender,0,0,0
ABBOTTABAD DISTRICT,72,Male,1460,353,1813
ABBOTTABAD DISTRICT,72,Female,1424,263,1687
ABBOTTABAD DISTRICT,72,Transgender,1,0,1
ABBOTTABAD DISTRICT,73,Male,1430,291,1721
ABBOTTABAD DISTRICT,73,Female,1327,282,1609
ABBOTTABAD DISTRICT,73,Transgender,0,0,0
ABBOTTABAD DISTRICT,74,Male,1161,245,1406
ABBOTTABAD DISTRICT,74,Female,1017,232,1249
ABBOTTABAD DISTRICT,74,Transgender,0,0,0
ABBOTTABAD DISTRICT,>=75,Male,7978,1835,9813
ABBOTTABAD DISTRICT,>=75,Female,8035,1779,9814
ABBOTTABAD DISTRICT,>=75,Transgender,1,0,1
ATTOCK DISTRICT,<1,Male,16161,5278,21439
ATTOCK DISTRICT,<1,Female,15140,5103,20243
ATTOCK DISTRICT,<1,Transgender,0,0,0
ATTOCK DISTRICT,1,Male,16889,6240,23129
ATTOCK DISTRICT,1,Female,16082,5930,22012
ATTOCK DISTRICT,1,Transgender,0,0,0
ATTOCK DISTRICT,2,Male,16839,5774,22613
ATTOCK DISTRICT,2,Female,15871,5326,21197
ATTOCK DISTRICT,2,Transgender,0,0,0
ATTOCK DISTRICT,3,Male,17966,6300,24266
ATTOCK DISTRICT,3,Female,16795,5951,22746
ATTOCK DISTRICT,3,Transgender,0,0,0
ATTOCK DISTRICT,4,Male,17218,5761,22979
ATTOCK DISTRICT,4,Female,16014,5387,21401
ATTOCK DISTRICT,4,Transgender,0,0,0
ATTOCK DISTRICT,5,Male,16271,5901,22172
ATTOCK DISTRICT,5,Female,15662,5482,21144
ATTOCK DISTRICT,5,Transgender,0,0,0
ATTOCK DISTRICT,6,Male,16284,5901,22185
ATTOCK DISTRICT,6,Female,15311,5271,20582
ATTOCK DISTRICT,6,Transgender,0,0,0
ATTOCK DISTRICT,7,Male,17246,6179,23425
ATTOCK DISTRICT,7,Female,16342,5802,22144
ATTOCK DISTRICT,7,Transgender,0,0,0
ATTOCK DISTRICT,8,Male,14862,5420,20282
ATTOCK DISTRICT,8,Female,14629,5062,19691
ATTOCK DISTRICT,8,Transgender,0,0,0
ATTOCK DISTRICT,9,Male,17517,6356,23873
ATTOCK DISTRICT,9,Female,16375,5943,22318
ATTOCK DISTRICT,9,Transgender,0,0,0
ATTOCK DISTRICT,10,Male,13730,4922,18652
ATTOCK DISTRICT,10,Female,13183,4657,17840
ATTOCK DISTRICT,10,Transgender,0,0,0
ATTOCK DISTRICT,11,Male,16861,6335,23196
ATTOCK DISTRICT,11,Female,15922,5672,21594
ATTOCK DISTRICT,11,Transgender,0,0,0
ATTOCK DISTRICT,12,Male,13729,4913,18642
ATTOCK DISTRICT,12,Female,12603,4557,17160
ATTOCK DISTRICT,12,Transgender,0,0,0
ATTOCK DISTRICT,13,Male,15568,5804,21372
ATTOCK DISTRICT,13,Female,14304,5092,19396
ATTOCK DISTRICT,13,Transgender,0,0,0
ATTOCK DISTRICT,14,Male,13730,5109,18839
ATTOCK DISTRICT,14,Female,12611,4619,17230
ATTOCK DISTRICT,14,Transgender,0,0,0
ATTOCK DISTRICT,15,Male,14441,5034,19475
ATTOCK DISTRICT,15,Female,13491,4815,18306
ATTOCK DISTRICT,15,Transgender,1,0,1
ATTOCK DISTRICT,16,Male,14831,5142,19973
ATTOCK DISTRICT,16,Female,13958,4799,18757
ATTOCK DISTRICT,16,Transgender,0,0,0
ATTOCK DISTRICT,17,Male,15024,5366,20390
ATTOCK DISTRICT,17,Female,14431,5143,19574
ATTOCK DISTRICT,17,Transgender,1,1,2
ATTOCK DISTRICT,18,Male,11973,4602,16575
ATTOCK DISTRICT,18,Female,11601,3900,15501
ATTOCK DISTRICT,18,Transgender,2,1,3
ATTOCK DISTRICT,19,Male,14505,5658,20163
ATTOCK DISTRICT,19,Female,14177,4875,19052
ATTOCK DISTRICT,19,Transgender,1,1,2
ATTOCK DISTRICT,20,Male,11746,4592,16338
ATTOCK DISTRICT,20,Female,10985,3654,14639
ATTOCK DISTRICT,20,Transgender,1,4,5
ATTOCK DISTRICT,21,Male,13884,5792,19676
ATTOCK DISTRICT,21,Female,14725,5112,19837
ATTOCK DISTRICT,21,Transgender,1,1,2
ATTOCK DISTRICT,22,Male,11294,4652,15946
ATTOCK DISTRICT,22,Female,12123,4177,16300
ATTOCK DISTRICT,22,Transgender,4,3,7
ATTOCK DISTRICT,23,Male,11852,4785,16637
ATTOCK DISTRICT,23,Female,13284,4660,17944
ATTOCK DISTRICT,23,Transgender,1,1,2
ATTOCK DISTRICT,24,Male,11500,4374,15874
ATTOCK DISTRICT,24,Female,13526,4537,18063
ATTOCK DISTRICT,24,Transgender,0,3,3
ATTOCK DISTRICT,25,Male,9192,3591,12783
ATTOCK DISTRICT,25,Female,10544,3556,14100
