district,group,relationship,sex,total_pop,never_married,married,widowed,divorced
DERA ISMAIL KHAN DISTRICT,URBAN,Grand Son / Grand Daughter,Transgender,,,,,
DERA ISMAIL KHAN DISTRICT,URBAN,Father/Mother,Overall,8046,,3018,5005,23
DERA ISMAIL KHAN DISTRICT,URBAN,Father/Mother,Male,1682,,1253,427,2
DERA ISMAIL KHAN DISTRICT,URBAN,Father/Mother,Female,6364,,1765,4578,21
DERA ISMAIL KHAN DISTRICT,URBAN,Brother / Sister,Overall,15229,9512,5159,392,166
DERA ISMAIL KHAN DISTRICT,URBAN,Brother / Sister,Male,10334,5375,4805,120,34
DERA ISMAIL KHAN DISTRICT,URBAN,Brother / Sister,Female,4894,4136,354,272,132
DERA ISMAIL KHAN DISTRICT,URBAN,Brother / Sister,Transgender,1,1,,,
DERA ISMAIL KHAN DISTRICT,URBAN,Other Relative,Overall,12479,3887,7629,923,40
DERA ISMAIL KHAN DISTRICT,URBAN,Other Relative,Male,4018,2259,1651,99,9
DERA ISMAIL KHAN DISTRICT,URBAN,Other Relative,Female,8454,1621,5978,824,31
DERA ISMAIL KHAN DISTRICT,URBAN,Other Relative,Transgender,7,7,,,
DERA ISMAIL KHAN DISTRICT,URBAN,Non-Relative,Overall,7556,4114,3316,110,16
DERA ISMAIL KHAN DISTRICT,URBAN,Non-Relative,Male,5816,3287,2490,28,11
DERA ISMAIL KHAN DISTRICT,URBAN,Non-Relative,Female,1715,802,826,82,5
DERA ISMAIL KHAN DISTRICT,URBAN,Non-Relative,Transgender,25,25,,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Head,Overall,42837,1299,39340,2169,29
DERA ISMAIL KHAN DISTRICT,OVERALL,Head,Male,37422,1194,35346,866,16
DERA ISMAIL KHAN DISTRICT,OVERALL,Head,Female,5413,103,3994,1303,13
DERA ISMAIL KHAN DISTRICT,OVERALL,Head,Transgender,2,2,,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Spouse,Overall,38096,,38096,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Spouse,Male,2159,,2159,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Spouse,Female,35937,,35937,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Son/Daughter,Overall,53867,37981,15662,133,91
DERA ISMAIL KHAN DISTRICT,OVERALL,Son/Daughter,Male,38076,22938,15072,51,15
DERA ISMAIL KHAN DISTRICT,OVERALL,Son/Daughter,Female,15790,15042,590,82,76
DERA ISMAIL KHAN DISTRICT,OVERALL,Son/Daughter,Transgender,1,1,,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Daughter / Son In Law,Overall,19654,,19468,181,5
DERA ISMAIL KHAN DISTRICT,OVERALL,Daughter / Son In Law,Male,237,,233,4,
DERA ISMAIL KHAN DISTRICT,OVERALL,Daughter / Son In Law,Female,19417,,19235,177,5
DERA ISMAIL KHAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Overall,2778,2364,404,4,6
DERA ISMAIL KHAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Male,1586,1303,277,3,3
DERA ISMAIL KHAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Female,1192,1061,127,1,3
DERA ISMAIL KHAN DISTRICT,OVERALL,Grand Son / Grand Daughter,Transgender,,,,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Father/Mother,Overall,8674,,4827,3833,14
