district,group,relationship,total_pop,never_married,married,widowed,divorced
BATAGRAM DISTRICT,RURAL,Non-Relative,2280,824,1407,46,3
BATAGRAM DISTRICT,URBAN,Head,,,,,
BATAGRAM DISTRICT,URBAN,Spouse,,,,,
BATAGRAM DISTRICT,URBAN,Son/Daughter,,,,,
BATAGRAM DISTRICT,URBAN,Daughter / Son In Law,,,,,
BATAGRAM DISTRICT,URBAN,Grand Son / Grand Daughter,,,,,
BATAGRAM DISTRICT,URBAN,Father/Mother,,,,,
BATAGRAM DISTRICT,URBAN,Brother / Sister,,,,,
BATAGRAM DISTRICT,URBAN,Other Relative,,,,,
BATAGRAM DISTRICT,URBAN,Non-Relative,,,,,
HARIPUR DISTRICT,OVERALL,Head,161915,6126,138497,16671,621
HARIPUR DISTRICT,OVERALL,Spouse,125365,,125365,,
HARIPUR DISTRICT,OVERALL,Son/Daughter,193333,152592,38331,883,1527
HARIPUR DISTRICT,OVERALL,Daughter / Son In Law,51463,,50944,511,8
HARIPUR DISTRICT,OVERALL,Grand Son / Grand Daughter,9540,8854,666,5,15
HARIPUR DISTRICT,OVERALL,Father/Mother,24442,,9383,14908,151
HARIPUR DISTRICT,OVERALL,Brother / Sister,30262,18250,10201,1027,784
HARIPUR DISTRICT,OVERALL,Other Relative,32552,9784,19051,3415,302
HARIPUR DISTRICT,OVERALL,Non-Relative,18143,7376,10497,229,41
HARIPUR DISTRICT,RURAL,Head,140793,4841,120833,14571,548
HARIPUR DISTRICT,RURAL,Spouse,109319,,109319,,
HARIPUR DISTRICT,RURAL,Son/Daughter,166865,131701,33071,780,1313
HARIPUR DISTRICT,RURAL,Daughter / Son In Law,45497,,45009,480,8
HARIPUR DISTRICT,RURAL,Grand Son / Grand Daughter,8427,7814,594,5,14
HARIPUR DISTRICT,RURAL,Father/Mother,20737,,7729,12878,130
HARIPUR DISTRICT,RURAL,Brother / Sister,24905,14944,8422,860,679
HARIPUR DISTRICT,RURAL,Other Relative,27251,8003,16032,2947,269
HARIPUR DISTRICT,RURAL,Non-Relative,13417,5550,7644,189,34
HARIPUR DISTRICT,URBAN,Head,21122,1285,17664,2100,73
HARIPUR DISTRICT,URBAN,Spouse,16046,,16046,,
HARIPUR DISTRICT,URBAN,Son/Daughter,26468,20891,5260,103,214
HARIPUR DISTRICT,URBAN,Daughter / Son In Law,5966,,5935,31,
HARIPUR DISTRICT,URBAN,Grand Son / Grand Daughter,1113,1040,72,,1
HARIPUR DISTRICT,URBAN,Father/Mother,3705,,1654,2030,21
HARIPUR DISTRICT,URBAN,Brother / Sister,5357,3306,1779,167,105
HARIPUR DISTRICT,URBAN,Other Relative,5301,1781,3019,468,33
HARIPUR DISTRICT,URBAN,Non-Relative,4726,1826,2853,40,7
MANSEHRA DISTRICT,OVERALL,Head,235374,6092,209153,19683,446
MANSEHRA DISTRICT,OVERALL,Spouse,186959,,186959,,
MANSEHRA DISTRICT,OVERALL,Son/Daughter,271810,215825,53681,1045,1259
MANSEHRA DISTRICT,OVERALL,Daughter / Son In Law,73584,,73025,549,10
MANSEHRA DISTRICT,OVERALL,Grand Son / Grand Daughter,11153,10055,1070,11,17
MANSEHRA DISTRICT,OVERALL,Father/Mother,33088,,14663,18355,70
MANSEHRA DISTRICT,OVERALL,Brother / Sister,38710,24048,13057,1028,577
MANSEHRA DISTRICT,OVERALL,Other Relative,47267,12533,29771,4742,221
MANSEHRA DISTRICT,OVERALL,Non-Relative,17147,8481,8212,415,39
MANSEHRA DISTRICT,RURAL,Head,214050,5202,190448,18003,397
MANSEHRA DISTRICT,RURAL,Spouse,169563,,169563,,
MANSEHRA DISTRICT,RURAL,Son/Daughter,242153,192183,47922,917,1131
MANSEHRA DISTRICT,RURAL,Daughter / Son In Law,67438,,66920,509,9
MANSEHRA DISTRICT,RURAL,Grand Son / Grand Daughter,10044,9029,991,10,14
