district,type,total_pop,head,spouse,son_daughter,daughter_son_inlaw,grandson_daughter,father_mother,brother_sister,other_relative,nonrelative
KARACHI EAST DISTRICT, FEMALE,1368002,58826,393101,535960,103481,92999,41245,36166,79936,26288
KARACHI EAST DISTRICT, TRANSGENDER,525,95,,22,,5,,44,278,81
KARACHI SOUTH DISTRICT, MALE,930691,280297,6998,426412,2995,62354,6796,42567,53588,48684
KARACHI SOUTH DISTRICT, FEMALE,838349,39292,242253,317795,64552,58384,25294,23548,50665,16566
KARACHI SOUTH DISTRICT, TRANSGENDER,190,80,,5,,,,9,27,69
KARACHI WEST DISTRICT, MALE,2056119,562332,12270,1057975,6810,141994,12889,91825,95662,74362
KARACHI WEST DISTRICT, FEMALE,1850580,62082,514922,786108,138226,132745,45915,40965,99226,30391
KARACHI WEST DISTRICT, TRANSGENDER,366,160,,8,,1,,20,93,84
KORANGI DISTRICT, MALE,1347161,384433,12001,680534,5138,91436,8545,60757,59917,44400
KORANGI DISTRICT, FEMALE,1229899,53688,349356,506564,95031,84918,30442,30636,64758,14506
KORANGI DISTRICT, TRANSGENDER,496,112,,32,,4,,64,215,69
MALIR DISTRICT, MALE,1028865,291088,6891,504235,2938,49715,7586,51172,52954,62286
MALIR DISTRICT, FEMALE,895329,26431,266749,392338,49346,46294,24684,24421,51344,13722
MALIR DISTRICT, TRANSGENDER,152,55,,5,,,,10,52,30
MIRPUR KHAS DISTRICT, MALE,776146,262559,6385,441901,840,19612,3639,19052,14966,7192
MIRPUR KHAS DISTRICT, FEMALE,728071,22126,253457,356824,24624,17902,17410,11398,18843,5487
MIRPUR KHAS DISTRICT, TRANSGENDER,223,15,,21,,3,,20,145,19
THARPARKAR DISTRICT, MALE,881018,273565,6778,557410,309,17966,1203,7160,7528,9099
THARPARKAR DISTRICT, FEMALE,765862,26437,265706,426007,10565,11874,7843,4108,7083,6239
THARPARKAR DISTRICT, TRANSGENDER,156,9,,11,,1,,8,116,11
UMER KOT DISTRICT, MALE,556470,193570,5407,318668,391,9198,1796,8280,7783,11377
UMER KOT DISTRICT, FEMALE,516841,16481,189300,259124,13245,7927,9958,4584,8813,7409
UMER KOT DISTRICT, TRANSGENDER,158,8,,10,,2,,10,114,14
