district,localities,gender,age_group,working,seeking_work,students,housekeeping,other
LAKKI MARWAT DISTRICT,Urban,Transgender,55-59,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,60-64,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,65-69,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,70-74,,,,,
LAKKI MARWAT DISTRICT,Urban,Transgender,75 AND ABOVE,,,,,
DERA ISMAIL KHAN DISTRICT,All,Overall,10-14,71,37,277,316,439
DERA ISMAIL KHAN DISTRICT,All,Overall,15-19,116,29,158,336,369
DERA ISMAIL KHAN DISTRICT,All,Overall,20-24,129,36,69,270,297
DERA ISMAIL KHAN DISTRICT,All,Overall,25-29,173,34,21,256,202
DERA ISMAIL KHAN DISTRICT,All,Overall,30-34,151,23,3,158,143
DERA ISMAIL KHAN DISTRICT,All,Overall,35-39,134,13,2,140,119
DERA ISMAIL KHAN DISTRICT,All,Overall,40-44,97,9,,86,89
DERA ISMAIL KHAN DISTRICT,All,Overall,45-49,83,2,,77,91
DERA ISMAIL KHAN DISTRICT,All,Overall,50-54,76,3,,80,77
DERA ISMAIL KHAN DISTRICT,All,Overall,55-59,55,,,57,66
DERA ISMAIL KHAN DISTRICT,All,Overall,60-64,43,1,,74,64
DERA ISMAIL KHAN DISTRICT,All,Overall,65-69,60,4,,57,55
DERA ISMAIL KHAN DISTRICT,All,Overall,70-74,37,,,25,54
DERA ISMAIL KHAN DISTRICT,All,Overall,75 AND ABOVE,35,2,,50,62
DERA ISMAIL KHAN DISTRICT,All,Male,10-14,53,28,194,148,282
DERA ISMAIL KHAN DISTRICT,All,Male,15-19,90,26,119,134,258
DERA ISMAIL KHAN DISTRICT,All,Male,20-24,115,30,56,121,209
DERA ISMAIL KHAN DISTRICT,All,Male,25-29,151,33,15,89,133
DERA ISMAIL KHAN DISTRICT,All,Male,30-34,134,21,1,54,97
DERA ISMAIL KHAN DISTRICT,All,Male,35-39,124,12,1,50,96
DERA ISMAIL KHAN DISTRICT,All,Male,40-44,91,7,,30,68
DERA ISMAIL KHAN DISTRICT,All,Male,45-49,79,1,,30,64
DERA ISMAIL KHAN DISTRICT,All,Male,50-54,71,3,,30,55
DERA ISMAIL KHAN DISTRICT,All,Male,55-59,52,,,20,51
DERA ISMAIL KHAN DISTRICT,All,Male,60-64,40,1,,34,47
DERA ISMAIL KHAN DISTRICT,All,Male,65-69,56,4,,33,44
DERA ISMAIL KHAN DISTRICT,All,Male,70-74,32,,,12,44
DERA ISMAIL KHAN DISTRICT,All,Male,75 AND ABOVE,26,1,,22,47
DERA ISMAIL KHAN DISTRICT,All,Female,10-14,18,9,83,168,157
DERA ISMAIL KHAN DISTRICT,All,Female,15-19,26,3,38,201,111
DERA ISMAIL KHAN DISTRICT,All,Female,20-24,11,6,13,148,88
DERA ISMAIL KHAN DISTRICT,All,Female,25-29,22,1,6,165,69
DERA ISMAIL KHAN DISTRICT,All,Female,30-34,15,2,2,104,46
DERA ISMAIL KHAN DISTRICT,All,Female,35-39,10,1,1,89,23
DERA ISMAIL KHAN DISTRICT,All,Female,40-44,6,,,56,21
DERA ISMAIL KHAN DISTRICT,All,Female,45-49,4,1,,44,27
DERA ISMAIL KHAN DISTRICT,All,Female,50-54,5,,,50,22
DERA ISMAIL KHAN DISTRICT,All,Female,55-59,3,,,35,15
DERA ISMAIL KHAN DISTRICT,All,Female,60-64,3,,,40,17
DERA ISMAIL KHAN DISTRICT,All,Female,65-69,3,,,23,11
DERA ISMAIL KHAN DISTRICT,All,Female,70-74,5,,,12,10
DERA ISMAIL KHAN DISTRICT,All,Female,75 AND ABOVE,8,1,,28,15
DERA ISMAIL KHAN DISTRICT,All,Transgender,10-14,,,,,
DERA ISMAIL KHAN DISTRICT,All,Transgender,15-19,,,1,1,
DERA ISMAIL KHAN DISTRICT,All,Transgender,20-24,3,,,1,
DERA ISMAIL KHAN DISTRICT,All,Transgender,25-29,,,,2,
DERA ISMAIL KHAN DISTRICT,All,Transgender,30-34,2,,,,
DERA ISMAIL KHAN DISTRICT,All,Transgender,35-39,,,,1,
DERA ISMAIL KHAN DISTRICT,All,Transgender,40-44,,2,,,
DERA ISMAIL KHAN DISTRICT,All,Transgender,45-49,,,,3,
DERA ISMAIL KHAN DISTRICT,All,Transgender,50-54,,,,,
DERA ISMAIL KHAN DISTRICT,All,Transgender,55-59,,,,2,
DERA ISMAIL KHAN DISTRICT,All,Transgender,60-64,,,,,
DERA ISMAIL KHAN DISTRICT,All,Transgender,65-69,1,,,1,
DERA ISMAIL KHAN DISTRICT,All,Transgender,70-74,,,,1,
DERA ISMAIL KHAN DISTRICT,All,Transgender,75 AND ABOVE,1,,,,
DERA ISMAIL KHAN DISTRICT,Rural,Overall,10-14,59,30,175,262,327
DERA ISMAIL KHAN DISTRICT,Rural,Overall,15-19,91,21,98,262,274
DERA ISMAIL KHAN DISTRICT,Rural,Overall,20-24,103,25,51,184,202
DERA ISMAIL KHAN DISTRICT,Rural,Overall,25-29,116,21,12,186,143
DERA ISMAIL KHAN DISTRICT,Rural,Overall,30-34,98,9,2,107,105
DERA ISMAIL KHAN DISTRICT,Rural,Overall,35-39,95,8,,96,85
DERA ISMAIL KHAN DISTRICT,Rural,Overall,40-44,61,6,,57,60
DERA ISMAIL KHAN DISTRICT,Rural,Overall,45-49,59,2,,49,62
DERA ISMAIL KHAN DISTRICT,Rural,Overall,50-54,52,1,,62,58
DERA ISMAIL KHAN DISTRICT,Rural,Overall,55-59,43,,,34,37
DERA ISMAIL KHAN DISTRICT,Rural,Overall,60-64,24,,,51,39
