district,tehsil,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,190573,7057,71130,9820,2591,188240,9845
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,226683,9868,106793,11846,3098,222570,9085
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,81764,1760,32609,3137,565,80649,2660
MULTAN DISTRICT,MULTAN CITY TEHSIL,357228,14745,302188,33493,23838,351970,59761
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,199570,7560,112648,10582,3471,196639,12134
MULTAN DISTRICT,SHUJABAD TEHSIL,88969,3122,48040,5624,1055,87592,4809
KHANEWAL DISTRICT,JAHANIAN TEHSIL,51136,1066,33328,3881,676,50560,3936
KHANEWAL DISTRICT,KABIRWALA TEHSIL,142236,4425,45190,7505,1712,141342,7636
KHANEWAL DISTRICT,KHANEWAL TEHSIL,136100,3495,75388,7432,3300,134571,10726
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,115427,2246,66078,7048,2307,114057,9976
LODHRAN DISTRICT,DUNYAPUR TEHSIL,74214,2483,39970,2294,506,73436,3848
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,74949,1713,32026,3111,365,74204,3587
LODHRAN DISTRICT,LODHRAN TEHSIL,99071,3045,50999,5565,854,97761,6185
VEHARI DISTRICT,BUREWALA TEHSIL,155370,11415,109268,16150,5614,153089,17489
VEHARI DISTRICT,MAILSI TEHSIL,142296,3140,69589,11815,1331,140515,8985
VEHARI DISTRICT,VEHARI TEHSIL,137119,7295,79123,11943,3075,135036,12656
JACOBABAD DISTRICT,GARHI KHAIRO TALUKA,21006,840,5646,1826,362,20348,524
JACOBABAD DISTRICT,JACOBABAD TALUKA,53742,769,29688,1992,1408,52211,2852
JACOBABAD DISTRICT,THUL TALUKA,60574,1072,10593,3116,774,59632,1778
KASHMORE DISTRICT,KANDHKOT TALUKA,54671,677,17429,2118,1098,53710,2164
KASHMORE DISTRICT,KASHMORE TALUKA,58742,3747,16109,2054,1198,57684,2830
KASHMORE DISTRICT,TANGWANI TALUKA,39396,1457,5859,2775,830,38807,1690
KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,51882,1561,21847,2475,775,50660,2284
KAMBAR SHAHDAD KOT DISTRICT,MIRO KHAN TALUKA,21821,1704,5871,1385,498,21406,785
KAMBAR SHAHDAD KOT DISTRICT,NASIRABAD TALUKA,19315,279,7603,890,189,18737,736
KAMBAR SHAHDAD KOT DISTRICT,QUBO SAEED KHAN TALUKA,11036,250,1363,435,133,10953,246
KAMBAR SHAHDAD KOT DISTRICT,SHAHDAD KOT TALUKA,29449,657,16688,1406,727,28657,1728
KAMBAR SHAHDAD KOT DISTRICT,SUJAWAL JUNEJO TALUKA,15223,751,5134,976,209,14948,362
