district,localities,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
BHAKKAR DISTRICT,URBAN,1 PERSON,381,294,142,62,21,14,7,5,7
BHAKKAR DISTRICT,URBAN,2 PERSONS,1348,976,364,174,66,37,17,7,14
BHAKKAR DISTRICT,URBAN,3 PERSONS,1503,1359,586,261,101,48,25,8,16
BHAKKAR DISTRICT,URBAN,4 PERSONS,1672,2102,1026,462,186,84,43,18,32
BHAKKAR DISTRICT,URBAN,5 PERSONS,1489,2445,1385,675,281,135,53,21,45
BHAKKAR DISTRICT,URBAN,6 PERSONS,1181,2170,1478,731,298,116,66,41,54
BHAKKAR DISTRICT,URBAN,7 PERSONS,725,1796,1212,610,264,130,54,27,43
BHAKKAR DISTRICT,URBAN,8 PERSONS,479,1237,891,528,196,118,63,21,40
BHAKKAR DISTRICT,URBAN,9 PERSONS,241,744,607,411,179,83,32,17,39
BHAKKAR DISTRICT,URBAN,10 PERSONS AND ABOVE,265,985,1174,1052,566,396,165,133,187
BUNNER DISTRICT,RURAL,1 PERSON,381,146,46,34,14,7,1,1,6
BUNNER DISTRICT,RURAL,2 PERSONS,1429,718,208,110,34,35,17,9,14
BUNNER DISTRICT,RURAL,3 PERSONS,1685,1205,359,149,54,34,23,10,17
BUNNER DISTRICT,RURAL,4 PERSONS,2279,2108,705,300,83,62,35,11,24
BUNNER DISTRICT,RURAL,5 PERSONS,2590,3175,1262,614,176,97,41,19,32
BUNNER DISTRICT,RURAL,6 PERSONS,2751,4181,1795,848,297,122,73,55,52
BUNNER DISTRICT,RURAL,7 PERSONS,2305,4219,2252,1092,370,207,84,47,68
BUNNER DISTRICT,RURAL,8 PERSONS,1620,3863,2214,1125,352,211,89,50,56
BUNNER DISTRICT,RURAL,9 PERSONS,965,2941,1942,1106,388,250,86,57,66
BUNNER DISTRICT,RURAL,10 PERSONS AND ABOVE,1349,6609,8105,7570,4018,2957,1215,1003,1606
BUNNER DISTRICT,URBAN,1 PERSON,,,,,,,,,
BUNNER DISTRICT,URBAN,2 PERSONS,,,,,,,,,
BUNNER DISTRICT,URBAN,3 PERSONS,,,,,,,,,
BUNNER DISTRICT,URBAN,4 PERSONS,,,,,,,,,
BUNNER DISTRICT,URBAN,5 PERSONS,,,,,,,,,
BUNNER DISTRICT,URBAN,6 PERSONS,,,,,,,,,
BUNNER DISTRICT,URBAN,7 PERSONS,,,,,,,,,
BUNNER DISTRICT,URBAN,8 PERSONS,,,,,,,,,
BUNNER DISTRICT,URBAN,9 PERSONS,,,,,,,,,
BUNNER DISTRICT,URBAN,10 PERSONS AND ABOVE,,,,,,,,,
CHAGAI DISTRICT,RURAL,1 PERSON,483,106,41,13,3,1,,1,
CHAGAI DISTRICT,RURAL,2 PERSONS,1671,881,138,62,18,8,10,3,3
